23/10/2013 00:30:25 > #START_PROGRAM-----------------------------------------------------
23/10/2013 00:01:01 > @T?i torrent: M? t?p tin F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\torrent\npp.6.4.5.Installer.exe.torrent
23/10/2013 00:00:56 > @T?i torrent: M? t?p tin F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\torrent\ConnectifyInstaller.exe.torrent
23/10/2013 00:00:49 > #START_PROGRAM-----------------------------------------------------
22/10/2013 23:56:51 > #END_PROGRAM-------------------------------------------------------
22/10/2013 23:56:03 > #END Noifile()
22/10/2013 23:56:03 > N?i thành công ghepfile/Khoc Tham.mp4/Khoc Tham.mp4
22/10/2013 23:52:32 > T?o m?i th? m?c F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\ghepfile\npp.6.4.5.Installer.exe
22/10/2013 23:52:32 > Th? m?c F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\ghepfile\npp.6.4.5.Installer.exe không t?n t?i
22/10/2013 23:52:32 > B?t ??u ki?m tra th? m?c F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\ghepfile\npp.6.4.5.Installer.exe
22/10/2013 23:52:32 > #BEGIN NoiFile(): npp.6.4.5.Installer.exe
22/10/2013 23:52:30 > @N?i t?p tin: M? t?p tin F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\torrent\npp.6.4.5.Installer.exe.torrent
22/10/2013 23:52:04 > #END Catfile()
22/10/2013 23:52:04 > C?t thành công 15/15 chunks
22/10/2013 23:52:04 > C?t chunk th? i = 14
22/10/2013 23:52:04 > C?t chunk th? i = 13
22/10/2013 23:52:04 > C?t chunk th? i = 12
22/10/2013 23:52:04 > C?t chunk th? i = 11
22/10/2013 23:52:04 > C?t chunk th? i = 10
22/10/2013 23:52:04 > C?t chunk th? i = 9
22/10/2013 23:52:04 > C?t chunk th? i = 8
22/10/2013 23:52:04 > C?t chunk th? i = 7
22/10/2013 23:52:04 > C?t chunk th? i = 6
22/10/2013 23:52:04 > C?t chunk th? i = 5
22/10/2013 23:52:04 > C?t chunk th? i = 4
22/10/2013 23:52:04 > C?t chunk th? i = 3
22/10/2013 23:52:04 > C?t chunk th? i = 2
22/10/2013 23:52:04 > C?t chunk th? i = 1
22/10/2013 23:52:04 > C?t chunk th? i = 0
22/10/2013 23:52:04 > B?t ??u c?t t?p tin
22/10/2013 23:52:04 > ?ã t?o CustomEventListener. T?o CustomEventObject
22/10/2013 23:52:04 > Ki?m tra có t?o CustomEventListener ch?a?
22/10/2013 23:52:04 > Ghi s? l??ng chunk s? c?t: 15
22/10/2013 23:52:04 > ??m s? l??ng chunk s? c?t
22/10/2013 23:52:04 > B?t ??u ki?m tra th? m?c F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\.\torrent
22/10/2013 23:52:04 > T?o m?i th? m?c F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\.\Chunk\npp.6.4.5.Installer.exe
22/10/2013 23:52:04 > Th? m?c F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\.\Chunk\npp.6.4.5.Installer.exe không t?n t?i
22/10/2013 23:52:04 > B?t ??u ki?m tra th? m?c F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\.\Chunk\npp.6.4.5.Installer.exe
22/10/2013 23:52:04 > #BEGIN Catfile(): npp.6.4.5.Installer.exe
22/10/2013 23:52:02 > @C?t t?p tin: M? t?p tin C:\Users\Duong Dieu Phap\Downloads\Programs\npp.6.4.5.Installer.exe
22/10/2013 23:51:46 > @C?t t?p tin: M? t?p tin C:\Users\Duong Dieu Phap\Downloads\Programs\foobar2000_v1.2.9.exe
22/10/2013 23:51:19 > #START_PROGRAM-----------------------------------------------------
22/10/2013 23:44:08 > #END_PROGRAM-------------------------------------------------------
22/10/2013 23:43:49 > #START_PROGRAM-----------------------------------------------------
22/10/2013 23:21:19 > #END_PROGRAM-------------------------------------------------------
22/10/2013 23:21:08 > #START_PROGRAM-----------------------------------------------------
22/10/2013 23:20:02 > #END_PROGRAM-------------------------------------------------------
22/10/2013 23:19:54 > #START_PROGRAM-----------------------------------------------------
22/10/2013 23:08:03 > #END_PROGRAM-------------------------------------------------------
22/10/2013 23:06:21 > @T?i torrent: M? t?p tin F:\Hoc tap\Hoan chinh\HK2\Mang may tinh nang cao\Thuc hanh\Do an\Bittorrent\Source\torrent\ConnectifyInstaller.exe.torrent
22/10/2013 23:03:39 > #END Catfile()
22/10/2013 23:03:39 > C?t thành công 14/14 chunks
22/10/2013 23:03:39 > C?t chunk th? i = 13
22/10/2013 23:03:39 > C?t chunk th? i = 12
22/10/2013 23:03:39 > C?t chunk th? i = 11
22/10/2013 23:03:39 > C?t chunk th? i = 10
